Velocity, Acceleration, Altitude, Heating
0,9813.704867,-1.01E-07,12.91530421
0.007832225,9813.704867,-0.172485385,12.91530421
0.007832225,9813.704867,-0.171808556,12.91530421
0.169357148,12426.73326,-0.170599766,8.05E-10
2.781526775,12473.42149,-0.02543503,4.08E-06
4.217590106,12499.07867,0.161517741,1.43E-05
6.626374869,12542.04942,0.640613257,5.54E-05
9.399439178,12591.34467,1.442047427,0.000158166
12.22217658,12641.34154,2.523344834,0.000347759
14.9987132,12690.35029,3.839247315,0.000642504
17.92124293,12741.76242,5.485352253,0.001095435
20.89560729,12793.91191,7.42638043,0.001735097
23.92255852,12846.81019,9.667524407,0.002601214
27.00286034,12900.4683,12.21396796,0.003736801
30.13726904,12954.86034,15.07112196,0.005188302
33.2191816,13008.14017,18.13358077,0.006938603
36.46187315,13064.04691,21.6179045,0.00916054
39.70549621,13119.81871,25.36293518,0.011808515
43.06108124,13177.36096,29.50130556,0.015033204
46.47530245,13235.75022,33.9779846,0.018860031
49.2497272,13283.08154,37.80672151,0.022402486
52.77263773,13343.03311,42.9066725,0.027495002
56.29747023,13402.8523,48.26729194,0.033294983
59.9450089,13464.58143,54.07614634,0.040082901
63.65733555,13527.08384,60.25111993,0.04785787
67.43544768,13590.16222,66.79839947,0.056715164
71.280473,13654.05724,73.72411509,0.0667559
75.12782438,13717.68809,80.90932999,0.077887125
79.10908675,13783.21629,88.60352988,0.090597569
83.09267744,13848.46266,96.55650021,0.104578228
87.21476943,13915.64403,105.0440639,0.120426281
91.33905496,13982.52598,113.789387,0.137739884
95.60644473,14051.38084,123.095211,0.157241298
99.87575715,14119.9187,132.6577795,0.178418754
104.1443186,14188.10256,142.4624612,0.201309897
108.6358237,14259.48493,153.0331863,0.227303234
113.2054144,14331.73399,164.0459002,0.25580832
117.7760066,14403.62862,175.3127254,0.286449908
122.1858747,14472.65077,186.4140961,0.318079356
126.9891661,14547.45298,198.7550556,0.354887263
131.8745919,14623.13815,211.5651594,0.39489457
136.8431642,14699.70936,224.851502,0.438289845
141.8958892,14777.16913,238.6212118,0.485266347
147.0337682,14855.51939,252.8814272,0.53602162
152.257799,14934.76172,267.6396129,0.59075696
157.2121672,15009.52697,281.8698416,0.645614603
162.4243696,15087.78255,297.0787443,0.706454144
167.7197713,15166.87256,312.7732146,0.771573734
173.0992706,15246.79635,328.9602082,0.841163525
178.7537252,15330.35218,346.2309689,0.918060073
184.5001385,15414.79695,364.0437601,1.000155514
190.3395119,15500.1286,382.4065938,1.087659454
196.2728502,15586.34446,401.3273625,1.180779335
202.0986777,15670.52407,420.155164,1.276325405
207.8086831,15752.57939,438.8420936,1.373906462
214.0221395,15841.81421,459.4257203,1.484488778
220.3408862,15932.17377,480.5976017,1.601617297
226.7664981,16023.43754,502.3642576,1.72550713
233.3002789,16115.58283,524.7325109,1.856359898
239.8319486,16207.03294,547.3210496,1.992009102
246.5842812,16300.87145,570.9020681,2.1372337
253.2182503,16392.37261,594.287249,2.284752502
260.1927604,16487.83629,619.0959072,2.444891997
267.2823784,16584.11253,644.5384408,2.612832798
274.4885628,16681.19516,670.6211314,2.788698047
281.7011734,16441.4971,697.3477841,2.96906363
288.4416415,16033.98585,724.2335993,3.138812558
294.9037333,15612.32248,752.1476692,3.30114167
300.9634829,15183.41545,780.5953652,3.45150729
306.6145311,14747.34412,809.5322392,3.588468478
311.9596352,14642.28375,838.9156734,3.714636346
317.1919181,14715.74392,867.729741,3.838515859
322.705338,14792.04024,897.9648952,3.969725946
328.3222814,14868.65911,928.638825,4.103981565
333.9476492,14944.33011,959.2331797,4.23889192
339.4794394,15017.75968,989.2003047,4.371867772
345.1861891,15081.591,1020.112358,4.508906344
351.193274,15160.23738,1052.542686,4.65312062
357.3090484,15239.09102,1085.436232,4.799767746
363.5345663,15318.65389,1118.796059,4.937450523
369.6586256,15396.28411,1151.489988,5.059684949
375.9963752,15475.58088,1185.200512,5.185381306
382.3339603,15553.87342,1218.787622,5.310179443
389.0030435,15635.23852,1254.002816,5.440457659
395.7881021,15717.00143,1289.698823,5.571813917
402.7423583,16042.16607,1325.879127,5.706334322
410.2872823,16691.53405,1362.569408,5.861821711
417.9518789,17305.91254,1397.31985,6.029784633
426.6865488,17962.31214,1434.510663,6.231213021
436.2732372,18639.89739,1472.993426,6.462551278
446.3712337,19124.44838,1511.537936,6.715502532
456.5626203,19236.61775,1550.141942,6.971598556
467.258126,19353.74621,1590.826921,7.238256782
478.1105073,19471.99666,1632.277881,7.506184955
488.9365568,19589.38331,1673.787967,7.770389388
499.3552872,19701.82914,1713.878227,8.02137902
510.4844646,19821.39586,1756.846892,8.285550556
521.9641031,19944.15912,1801.31557,8.553386709
533.6085455,20068.11911,1846.56494,8.819842721
545.023022,20189.10154,1891.050753,9.075564332
556.9963209,20315.4683,1937.843384,9.337623573
569.139253,20443.08753,1985.424084,9.596583938
581.2468049,20569.82101,2032.982354,9.847638317
593.5215239,20697.80575,2081.306765,10.09457236
606.1773441,20829.26484,2131.237781,10.34089488
619.0093167,20962.06303,2181.96446,10.58180783
631.8008052,21093.97717,2232.623253,10.81287671
644.9870634,21229.50367,2284.932903,11.04138148
658.1301659,21364.15014,2337.150987,11.25917727
671.6773046,21502.50761,2391.048592,11.4731225
685.1785451,21639.99137,2444.830317,11.67558581
698.8597961,21778.92335,2499.388807,11.86972284
712.9606422,21923.11742,2555.669216,11.82285392
727.0115668,22065.19801,2611.796046,11.95507896
741.4905339,22211.21866,2669.672614,12.08286473
755.4244784,22351.40437,2725.401553,12.19797471
769.7851985,22497.69955,2782.853597,12.308884
784.8381594,22650.54432,2843.073161,12.41713244
799.5809346,22797.52423,2902.039688,12.51553012
815.0282502,22948.59223,2963.813234,12.61076106
829.8894036,23094.18909,3023.220427,12.6951292
844.6686239,23239.19557,3082.265012,12.77234246
860.7024641,23396.71582,3146.267877,12.84896651
876.9445646,23556.47072,3211.029795,12.91942961
893.3974214,23718.47186,3276.54341,12.98389449
910.063535,23882.73738,3342.801223,13.04253101
926.3791805,24043.70214,3407.550546,13.09383939
943.4720209,24212.49511,3475.248884,13.14153844
960.4952012,24380.76539,3542.521627,13.18328685
977.4402229,24548.4319,3609.325605,13.21952287
994.5961367,24718.36444,3676.787414,13.25117429
1012.568032,24896.58361,3747.259162,13.27928536
1030.77069,25077.31737,3818.417347,13.30288466
1049.206723,25260.61569,3890.252636,13.3221766
1067.565619,25443.411,3961.541452,13.33714822
1086.472341,25631.95439,4034.690622,13.34851127
1105.620387,25823.22755,4108.487288,13.3561857
1124.362115,26010.77654,4180.42966,13.36029419
1143.663527,26204.29287,4254.212782,13.36133373
1163.539474,26403.98039,4329.856769,13.35934434
1183.667707,26606.65077,4406.104728,13.35448944
1204.051096,26812.37414,4482.944791,13.3469758
1224.692555,27021.22307,4560.364538,13.3370105
1244.543671,27222.59296,4634.438985,13.32545633
1263.569631,27416.0892,4705.077055,13.31279396
1283.886933,27623.27694,4780.116271,13.29778281
1304.084701,27829.8392,4854.304882,13.28154988
1325.988666,28054.54483,4934.292098,13.26270566
1347.424555,28275.17329,5012.090803,13.24324102
1369.121043,28499.23959,5090.34544,13.22272508
1391.462087,28730.78341,5170.403059,13.20095143
1413.693472,28962.04414,5249.535451,13.17882945
1436.975459,29205.17472,5331.831138,13.15537606
1460.154431,29448.21455,5413.170431,13.13192305
1483.619472,29695.28402,5494.905224,13.10825391
1507.779217,29950.78133,5578.413818,13.08413558
1532.24219,30210.66724,5662.29604,13.06014446
1555.766379,30461.73054,5742.313624,13.03762639
1579.991221,30721.47988,5824.047629,13.01513942
1604.510124,30985.66037,5906.079275,12.9932357
1630.187906,31263.73802,5991.233723,12.97135043
1656.188564,31546.81684,6076.667213,12.95041454
1680.750953,31815.65827,6156.638454,12.93187537
1707.388161,32108.80399,6242.551364,12.91324018
1733.908878,32402.35101,6327.243175,12.8963065
1760.300896,32696.17557,6410.682425,12.88115318
1787.478748,33000.5593,6495.724549,12.86740932
1815.464162,33315.94542,6582.354782,12.855318
1843.804401,33637.3949,6669.108982,12.84528709
1872.023306,33959.57253,6754.514088,12.83758906
1899.620949,34276.72634,6837.092241,12.83233868
1929.03229,34617.01722,6924.064098,12.82928977
1957.82056,34952.43294,7008.158559,12.82891097
1987.470994,35300.35106,7093.698986,12.83127468
2016.983918,35649.17557,7177.759683,12.8364596
2047.901281,36017.34368,7264.660481,12.84497415
2079.218158,36393.18209,7351.472571,12.85686956
2110.972676,36776.72509,7438.169696,12.8728823
2142.690153,37161.82458,7523.310385,12.89366877
2175.451328,37561.83994,7609.793482,12.91975772
2208.72723,37970.58543,7696.188024,12.95064676
2241.955131,38381.30773,7781.069063,12.98552985
2276.26657,38808.22334,7867.327301,13.02542714
2311.10839,39244.75827,7953.537486,13.06963236
2345.892656,39683.71391,8038.277731,13.11716516
2381.804998,40140.30658,8124.434654,13.16950998
2417.920563,40609.10181,8210.540501,13.22037255
2453.008263,41090.07151,8296.177458,13.2524556
2486.248051,41581.31564,8380.723284,13.25724691
2516.897784,42081.92251,8463.545974,13.22814688
2543.850271,42583.63818,8542.701562,13.16152426
2565.611352,43061.05205,8613.939126,13.06236146
2584.567407,43576.63714,8685.898054,12.9169843
2599.416946,44125.41897,8756.424529,12.72140697
2609.03234,44691.89761,8822.511801,12.47979873
2613.096275,45277.26037,8883.768752,12.1930712
2611.363138,45882.56657,8939.888796,11.86285147
2603.857833,46491.62944,8989.857917,11.49815573
2591.64405,47069.45947,9031.686583,11.12540385
2574.7758,47647.47534,9068.284752,10.73158837
2550.924322,48293.02149,9103.289347,10.2735765
2521.995927,48943.46122,9132.808366,9.797724711
2485.282385,49635.04181,9158.603187,9.26860071
2443.802102,50324.69691,9179.520593,8.730342445
2397.643585,51035.40964,9197.198739,8.180208069
2347.257442,47096.03464,9212.957409,7.621569767
2305.589042,44910.41244,9226.027978,7.180970218
2261.438775,45476.25276,9238.993138,6.737363979
2219.076038,46026.15939,9250.557116,6.3331918
2173.866773,46620.65753,9261.976623,5.923866233
2126.50541,47252.03934,9272.946871,5.518164895
